number,unicode,Modified Unicode (Tweet),modified_r,tag,utf8,ftu8
1,U+1F600,u1f600,\U0001f600,face grin,<f0><9f><98><80>,<ed><a0><bd><ed><b8><80>
2,U+1F601,u1f601,\U0001f601,eye face grin smile,<f0><9f><98><81>,<ed><a0><bd><ed><b8><81>
3,U+1F602,u1f602,\U0001f602,face joy laugh tear,<f0><9f><98><82>,<ed><a0><bd><ed><b8><82>
4,U+1F923,u1f923,\U0001f923,face floor laugh rolling,<f0><9f><a4><a3>,<ed><a0><be><ed><b4><a3>
5,U+1F603,u1f603,\U0001f603,face mouth open smile,<f0><9f><98><83>,<ed><a0><bd><ed><b8><83>
6,U+1F604,u1f604,\U0001f604,eye face mouth open smile,<f0><9f><98><84>,<ed><a0><bd><ed><b8><84>
7,U+1F605,u1f605,\U0001f605,cold face open smile sweat,<f0><9f><98><85>,<ed><a0><bd><ed><b8><85>
8,U+1F606,u1f606,\U0001f606,face laugh mouth open satisfied smile,<f0><9f><98><86>,<ed><a0><bd><ed><b8><86>
9,U+1F609,u1f609,\U0001f609,face wink,<f0><9f><98><89>,<ed><a0><bd><ed><b8><89>
10,U+1F60A,u1f60a,\U0001f60a,blush eye face smile,<f0><9f><98><8a>,<ed><a0><bd><ed><b8><8a>
11,U+1F60B,u1f60b,\U0001f60b,delicious face savouring smile um yum,<f0><9f><98><8b>,<ed><a0><bd><ed><b8><8b>
12,U+1F60E,u1f60e,\U0001f60e,bright cool eye eyewear face glasses smile sun sunglasses,<f0><9f><98><8e>,<ed><a0><bd><ed><b8><8e>
13,U+1F60D,u1f60d,\U0001f60d,eye face love smile,<f0><9f><98><8d>,<ed><a0><bd><ed><b8><8d>
14,U+1F618,u1f618,\U0001f618,face kiss,<f0><9f><98><98>,<ed><a0><bd><ed><b8><98>
15,U+1F617,u1f617,\U0001f617,face kiss,<f0><9f><98><97>,<ed><a0><bd><ed><b8><97>
16,U+1F619,u1f619,\U0001f619,eye face kiss smile,<f0><9f><98><99>,<ed><a0><bd><ed><b8><99>
17,U+1F61A,u1f61a,\U0001f61a,closed eye face kiss,<f0><9f><98><9a>,<ed><a0><bd><ed><b8><9a>
18,U+263A,u263a,\U000263a,face outlined relaxed smile,<e2><98><ba>,<e2><98><ba>
19,U+1F642,u1f642,\U0001f642,face smile,<f0><9f><99><82>,<ed><a0><bd><ed><b9><82>
20,U+1F917,u1f917,\U0001f917,face hug hugging,<f0><9f><a4><97>,<ed><a0><be><ed><b4><97>
21,U+1F914,u1f914,\U0001f914,face thinking,<f0><9f><a4><94>,<ed><a0><be><ed><b4><94>
22,U+1F610,u1f610,\U0001f610,deadpan face neutral,<f0><9f><98><90>,<ed><a0><bd><ed><b8><90>
23,U+1F611,u1f611,\U0001f611,expressionless face inexpressive unexpressive,<f0><9f><98><91>,<ed><a0><bd><ed><b8><91>
24,U+1F636,u1f636,\U0001f636,face mouth quiet silent,<f0><9f><98><b6>,<ed><a0><bd><ed><b8><b6>
25,U+1F644,u1f644,\U0001f644,eyes face rolling,<f0><9f><99><84>,<ed><a0><bd><ed><b9><84>
26,U+1F60F,u1f60f,\U0001f60f,face smirk,<f0><9f><98><8f>,<ed><a0><bd><ed><b8><8f>
27,U+1F623,u1f623,\U0001f623,face persevere,<f0><9f><98><a3>,<ed><a0><bd><ed><b8><a3>
28,U+1F625,u1f625,\U0001f625,disappointed face relieved whew,<f0><9f><98><a5>,<ed><a0><bd><ed><b8><a5>
29,U+1F62E,u1f62e,\U0001f62e,face mouth open sympathy,<f0><9f><98><ae>,<ed><a0><bd><ed><b8><ae>
30,U+1F910,u1f910,\U0001f910,face mouth zipper,<f0><9f><a4><90>,<ed><a0><be><ed><b4><90>
31,U+1F62F,u1f62f,\U0001f62f,face hushed stunned surprised,<f0><9f><98><af>,<ed><a0><bd><ed><b8><af>
32,U+1F62A,u1f62a,\U0001f62a,face sleep,<f0><9f><98><aa>,<ed><a0><bd><ed><b8><aa>
33,U+1F62B,u1f62b,\U0001f62b,face tired,<f0><9f><98><ab>,<ed><a0><bd><ed><b8><ab>
34,U+1F634,u1f634,\U0001f634,face sleep zzz,<f0><9f><98><b4>,<ed><a0><bd><ed><b8><b4>
35,U+1F60C,u1f60c,\U0001f60c,face relieved,<f0><9f><98><8c>,<ed><a0><bd><ed><b8><8c>
36,U+1F913,u1f913,\U0001f913,face geek nerd,<f0><9f><a4><93>,<ed><a0><be><ed><b4><93>
37,U+1F61B,u1f61b,\U0001f61b,face tongue,<f0><9f><98><9b>,<ed><a0><bd><ed><b8><9b>
38,U+1F61C,u1f61c,\U0001f61c,eye face joke tongue wink,<f0><9f><98><9c>,<ed><a0><bd><ed><b8><9c>
39,U+1F61D,u1f61d,\U0001f61d,eye face horrible taste tongue,<f0><9f><98><9d>,<ed><a0><bd><ed><b8><9d>
40,U+1F924,u1f924,\U0001f924,drooling face,<f0><9f><a4><a4>,<ed><a0><be><ed><b4><a4>
41,U+1F612,u1f612,\U0001f612,face unamused unhappy,<f0><9f><98><92>,<ed><a0><bd><ed><b8><92>
42,U+1F613,u1f613,\U0001f613,cold face sweat,<f0><9f><98><93>,<ed><a0><bd><ed><b8><93>
43,U+1F614,u1f614,\U0001f614,dejected face pensive,<f0><9f><98><94>,<ed><a0><bd><ed><b8><94>
44,U+1F615,u1f615,\U0001f615,confused face,<f0><9f><98><95>,<ed><a0><bd><ed><b8><95>
45,U+1F643,u1f643,\U0001f643,face upside-down upside-down,<f0><9f><99><83>,<ed><a0><bd><ed><b9><83>
46,U+1F911,u1f911,\U0001f911,face money mouth,<f0><9f><a4><91>,<ed><a0><be><ed><b4><91>
47,U+1F632,u1f632,\U0001f632,astonished face shocked totally,<f0><9f><98><b2>,<ed><a0><bd><ed><b8><b2>
48,U+2639,u2639,u2639,face frown,<e2><98><b9>,<e2><98><b9>
49,U+1F641,u1f641,\U0001f641,face frown,<f0><9f><99><81>,<ed><a0><bd><ed><b9><81>
50,U+1F616,u1f616,\U0001f616,confounded face,<f0><9f><98><96>,<ed><a0><bd><ed><b8><96>
51,U+1F61E,u1f61e,\U0001f61e,disappointed face,<f0><9f><98><9e>,<ed><a0><bd><ed><b8><9e>
52,U+1F61F,u1f61f,\U0001f61f,face worried,<f0><9f><98><9f>,<ed><a0><bd><ed><b8><9f>
53,U+1F624,u1f624,\U0001f624,face triumph won,<f0><9f><98><a4>,<ed><a0><bd><ed><b8><a4>
54,U+1F622,u1f622,\U0001f622,cry face sad tear,<f0><9f><98><a2>,<ed><a0><bd><ed><b8><a2>
55,U+1F62D,u1f62d,\U0001f62d,cry face sad sob tear,<f0><9f><98><ad>,<ed><a0><bd><ed><b8><ad>
56,U+1F626,u1f626,\U0001f626,face frown mouth open,<f0><9f><98><a6>,<ed><a0><bd><ed><b8><a6>
57,U+1F627,u1f627,\U0001f627,anguished face,<f0><9f><98><a7>,<ed><a0><bd><ed><b8><a7>
58,U+1F628,u1f628,\U0001f628,face fear fearful scared,<f0><9f><98><a8>,<ed><a0><bd><ed><b8><a8>
59,U+1F629,u1f629,\U0001f629,face tired weary,<f0><9f><98><a9>,<ed><a0><bd><ed><b8><a9>
60,U+1F62C,u1f62c,\U0001f62c,face grimace,<f0><9f><98><ac>,<ed><a0><bd><ed><b8><ac>
61,U+1F630,u1f630,\U0001f630,blue cold face mouth open rushed sweat,<f0><9f><98><b0>,<ed><a0><bd><ed><b8><b0>
62,U+1F631,u1f631,\U0001f631,face fear fearful munch scared scream,<f0><9f><98><b1>,<ed><a0><bd><ed><b8><b1>
63,U+1F633,u1f633,\U0001f633,dazed face flushed,<f0><9f><98><b3>,<ed><a0><bd><ed><b8><b3>
64,U+1F635,u1f635,\U0001f635,dizzy face,<f0><9f><98><b5>,<ed><a0><bd><ed><b8><b5>
65,U+1F621,u1f621,\U0001f621,angry face mad pouting rage red,<f0><9f><98><a1>,<ed><a0><bd><ed><b8><a1>
66,U+1F620,u1f620,\U0001f620,angry face mad,<f0><9f><98><a0>,<ed><a0><bd><ed><b8><a0>
67,U+1F607,u1f607,\U0001f607,angel face fairy tale fantasy halo innocent smile,<f0><9f><98><87>,<ed><a0><bd><ed><b8><87>
68,U+1F920,u1f920,\U0001f920,cowboy cowgirl face hat,<f0><9f><a4><a0>,<ed><a0><be><ed><b4><a0>
69,U+1F921,u1f921,\U0001f921,clown face,<f0><9f><a4><a1>,<ed><a0><be><ed><b4><a1>
70,U+1F925,u1f925,\U0001f925,face lie pinocchio,<f0><9f><a4><a5>,<ed><a0><be><ed><b4><a5>
71,U+1F637,u1f637,\U0001f637,cold doctor face mask medicine sick,<f0><9f><98><b7>,<ed><a0><bd><ed><b8><b7>
72,U+1F912,u1f912,\U0001f912,face ill sick thermometer,<f0><9f><a4><92>,<ed><a0><be><ed><b4><92>
73,U+1F915,u1f915,\U0001f915,bandage face hurt injury,<f0><9f><a4><95>,<ed><a0><be><ed><b4><95>
74,U+1F922,u1f922,\U0001f922,face nauseated vomit,<f0><9f><a4><a2>,<ed><a0><be><ed><b4><a2>
75,U+1F927,u1f927,\U0001f927,face gesundheit sneeze,<f0><9f><a4><a7>,<ed><a0><be><ed><b4><a7>
76,U+1F608,u1f608,\U0001f608,face fairy tale fantasy horns smile,<f0><9f><98><88>,<ed><a0><bd><ed><b8><88>
77,U+1F47F,u1f47f,\U0001f47f,demon devil face fairy tale fantasy imp,<f0><9f><91><bf>,<ed><a0><bd><ed><b1><bf>
78,U+1F479,u1f479,\U0001f479,creature face fairy tale fantasy Japanese monster,<f0><9f><91><b9>,<ed><a0><bd><ed><b1><b9>
79,U+1F47A,u1f47a,\U0001f47a,creature face fairy tale fantasy Japanese monster,<f0><9f><91><ba>,<ed><a0><bd><ed><b1><ba>
80,U+1F480,u1f480,\U0001f480,death face fairy tale monster,<f0><9f><92><80>,<ed><a0><bd><ed><b2><80>
81,U+2620,u2620,u2620,crossbones death face monster skull,<e2><98><a0>,<e2><98><a0>
82,U+1F47B,u1f47b,\U0001f47b,creature face fairy tale fantasy monster,<f0><9f><91><bb>,<ed><a0><bd><ed><b1><bb>
83,U+1F47D,u1f47d,\U0001f47d,creature extraterrestrial face fairy tale fantasy monster ufo,<f0><9f><91><bd>,<ed><a0><bd><ed><b1><bd>
84,U+1F47E,u1f47e,\U0001f47e,alien creature extraterrestrial face fairy tale fantasy monster ufo,<f0><9f><91><be>,<ed><a0><bd><ed><b1><be>
85,U+1F916,u1f916,\U0001f916,face monster robot,<f0><9f><a4><96>,<ed><a0><be><ed><b4><96>
86,U+1F4A9,u1f4a9,\U0001f4a9,comic dung face monster poo poop,<f0><9f><92><a9>,<ed><a0><bd><ed><b2><a9>
87,U+1F63A,u1f63a,\U0001f63a,cat face mouth open smile,<f0><9f><98><ba>,<ed><a0><bd><ed><b8><ba>
88,U+1F638,u1f638,\U0001f638,cat eye face grin smile,<f0><9f><98><b8>,<ed><a0><bd><ed><b8><b8>
89,U+1F639,u1f639,\U0001f639,cat face joy tear,<f0><9f><98><b9>,<ed><a0><bd><ed><b8><b9>
90,U+1F63B,u1f63b,\U0001f63b,cat eye face love smile,<f0><9f><98><bb>,<ed><a0><bd><ed><b8><bb>
91,U+1F63C,u1f63c,\U0001f63c,cat face ironic smile wry,<f0><9f><98><bc>,<ed><a0><bd><ed><b8><bc>
92,U+1F63D,u1f63d,\U0001f63d,cat eye face kiss,<f0><9f><98><bd>,<ed><a0><bd><ed><b8><bd>
93,U+1F640,u1f640,\U0001f640,cat face oh surprised weary,<f0><9f><99><80>,<ed><a0><bd><ed><b9><80>
94,U+1F63F,u1f63f,\U0001f63f,cat cry face sad tear,<f0><9f><98><bf>,<ed><a0><bd><ed><b8><bf>
95,U+1F63E,u1f63e,\U0001f63e,cat face pouting,<f0><9f><98><be>,<ed><a0><bd><ed><b8><be>
96,U+1F648,u1f648,\U0001f648,evil face forbidden gesture monkey no not prohibited see,<f0><9f><99><88>,<ed><a0><bd><ed><b9><88>
97,U+1F649,u1f649,\U0001f649,evil face forbidden gesture hear monkey no not prohibited,<f0><9f><99><89>,<ed><a0><bd><ed><b9><89>
98,U+1F64A,u1f64a,\U0001f64a,evil face forbidden gesture monkey no not prohibited speak,<f0><9f><99><8a>,<ed><a0><bd><ed><b9><8a>
99,U+1F466,u1f466,\U0001f466,boy young,<f0><9f><91><a6>,<ed><a0><bd><ed><b1><a6>
